Name,description,organization,platform,version,type,price,link,Image,downloads,review rating
Google Pay,"Google Pay is a safe, simple, and helpful way to manage your money, giving you a clearer picture of your spending and savings:",Google,Android,Varies with device,finance,free,https://play.google.com/store/apps/details?id=com.google.android.apps.nbu.paisa.user,,100000000+,4
HBO Max,"HBO Max is the streaming platform that bundles all of HBO together with even more of your favorite TV series, blockbuster movies, plus new Max Originals.",AT&T,"Android, iOS",50.16.0.29,media,free,https://play.google.com/store/apps/details?id=com.hbo.hbonow,,10000000+,3.9
Zoom,"Stay connected wherever you go – start or join a secure meeting with flawless video and audio, instant screen sharing, and cross-platform instant messaging - for free!",Zoom,"Android, iOS",5.5.2.1416,functionallity,free,https://play.google.com/store/apps/details?id=us.zoom.videomeetings,,500000000+,3.8
TicTok,"TikTok is THE destination for mobile videos. On TikTok, short-form videos are exciting, spontaneous, and genuine. Whether you’re a sports fanatic, a pet enthusiast, or just looking for a laugh, there’s something for everyone on TikTok. All you have to do is watch, engage with what you like, skip what you don’t, and you’ll find an endless stream of short videos that feel personalized just for you. From your morning coffee to your afternoon errands, TikTok has the videos that are guaranteed to make your day.",TicTok,"Android, iOS",18.6.6,social media,free,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically,,1000000000+,4.5
Cash App,"Cash App is the easiest way to send, spend, save, and invest your money. It’s the SAFE, FAST, and FREE mobile banking* app.","Square, Inc.","Android, iOS",3.34.1,finance,free,https://play.google.com/store/apps/details?id=com.squareup.cash,,10000000+,4.2
discovery+,"Introducing discovery+, the only streaming service with the greatest real-life entertainment from your favorite TV brands - including HGTV, Food Network, TLC, ID, Animal Planet, Discovery Channel - and personalities, plus exclusive originals, all in one place. Whatever you’re into, you’ll find it here.",Discovery,"Android, iOS",1.3.2,media,free,https://play.google.com/store/apps/details?id=com.discovery.discoveryplus.mobile,,1000000+,4.2
IRS2Go,"Check your refund status, make a payment, find free tax preparation assistance, sign up for helpful tax tips, generate a login security code, and follow the latest news from the IRS - all in the latest version of IRS2Go.",ByteDance,"Android, iOS",5.4.7,finance,free,https://play.google.com/store/apps/details?id=gov.irs,,10000000+,3.9
Disney+,"Disney+ is the streaming home of your favorite stories. With unlimited entertainment from Disney, Pixar, Marvel, Star Wars and National Geographic, you’ll never be bored. Watch the latest releases, Original series and movies, classic films, throwback TV shows, and so much more.",Disney,"Android, iOS",1.13.2,media,free,https://play.google.com/store/apps/details?id=com.disney.disneyplus,,50000000+,4.4
Tubi,"Watch thousands of hit movies and TV series for free. Tubi is 100% legal unlimited streaming, with no credit cards and no subscription required.",Fox Corporation,"Android, iOS",4.10.1,media,free,https://play.google.com/store/apps/details?id=com.tubitv,,50000000+,4.6
CBS,"With the new CBS app you can watch the latest episodes of your favorite CBS shows for free at your convenience, no log-in required to instantly stream anytime, on any device.",CBS Corporation,"Android, iOS",8.0.00,media,free,https://play.google.com/store/apps/details?id=com.cbs.tve,,500000+,3.2
